cohort_source,series,source_year,Year,cohort,n_women,n_women_weighted,mean_children,mean_children_weighted,share_12plus
proxy_1950,main,1960,1950,1890-1900,64760,6451460,2.8179431747991677,2.8179226097658514,0.010824583075972822
main_1960,main,1960,1960,1900-1910,86233,8590203,2.429255621397909,2.429302776663136,0.007734857885032412
main_1970,main,1970,1970,1910-1920,109678,10967800,2.3769853571362614,2.3769853571363444,0.00557085286019074
main_1980,main,1980,1980,1920-1930,613086,12261720,2.854867017025072,2.854867017025344,0.005808320529256907
main_1990,main,1990,1990,1931-1940,587159,11360431,3.0465223218922257,3.002769349155855,0.003470950798676338
direct_1950_validation,validation,1950,1950,1891-1900,22263,3010813,2.7578942640255146,2.330028467394023,0.011274311638144005
