birth_band,universe_year,universe,n_child,n_women,n_women_weighted,probability,probability_weighted
1900-1909,1960,all_women,2,19161,1908760,0.22231375233498474,0.2223152178584544
1900-1909,1960,all_women,3,12140,1209358,0.14085324113285919,0.1408551558283203
1900-1909,1960,all_women,4,7330,730174,0.08504565547807724,0.08504410815638377
1900-1909,1960,all_women,5,4305,428868,0.04994836928146283,0.04995069199507514
1900-1909,1960,all_women,6,2743,273227,0.03182540695448375,0.03182302648306331
1900-1909,1960,all_women,7,1836,182903,0.021302022299829446,0.02130289836960377
1900-1909,1960,all_women,8,1361,135586,0.015790878186311478,0.015791839271860474
1900-1909,1960,all_women,9,874,87072,0.010140505168873057,0.010141364367113383
1900-1909,1960,all_women,10,695,69238,0.008063674018726288,0.008064220255078514
1900-1909,1960,all_women,11,401,39962,0.004652565872675167,0.004654414769829395
1900-1909,1960,all_women,12,674,67138,0.007820023436865494,0.007819631119984133
1900-1909,1960,ever_married,0,17770,1770212,0.20617480188887213,0.20617839143509414
1900-1909,1960,ever_married,1,16899,1683329,0.19606910394597918,0.19605904009013925
1900-1909,1960,ever_married,2,19161,1908760,0.22231375233498474,0.2223152178584544
1900-1909,1960,ever_married,3,12140,1209358,0.14085324113285919,0.1408551558283203
1900-1909,1960,ever_married,4,7330,730174,0.08504565547807724,0.08504410815638377
1900-1909,1960,ever_married,5,4305,428868,0.04994836928146283,0.04995069199507514
1900-1909,1960,ever_married,6,2743,273227,0.03182540695448375,0.03182302648306331
1900-1909,1960,ever_married,7,1836,182903,0.021302022299829446,0.02130289836960377
1900-1909,1960,ever_married,8,1361,135586,0.015790878186311478,0.015791839271860474
1900-1909,1960,ever_married,9,874,87072,0.010140505168873057,0.010141364367113383
1900-1909,1960,ever_married,10,695,69238,0.008063674018726288,0.008064220255078514
1900-1909,1960,ever_married,11,401,39962,0.004652565872675167,0.004654414769829395
1900-1909,1960,ever_married,12,674,67138,0.007820023436865494,0.007819631119984133
1900-1909,1970,all_women,0,21166,2116600,0.2501684257803728,0.2501684257803728
1900-1909,1970,all_women,1,15697,1569700,0.1855283841762502,0.1855283841762502
1900-1909,1970,all_women,2,17968,1796800,0.21237013485881784,0.21237013485881784
1900-1909,1970,all_women,3,11401,1140100,0.13475244365123454,0.13475244365123454
1900-1909,1970,all_women,4,6722,672200,0.07944969092391882,0.07944969092391882
1900-1909,1970,all_women,5,3999,399900,0.047265592681456615,0.047265592681456615
1900-1909,1970,all_women,6,2552,255200,0.03016298887798882,0.03016298887798882
1900-1909,1970,all_women,7,1650,165000,0.019501932464216908,0.019501932464216908
1900-1909,1970,all_women,8,1176,117600,0.013899559138132778,0.013899559138132778
1900-1909,1970,all_women,9,744,74400,0.008793598638410534,0.008793598638410534
1900-1909,1970,all_women,10,591,59100,0.006985237628092238,0.006985237628092238
1900-1909,1970,all_women,11,344,34400,0.00406585743496401,0.00406585743496401
1900-1909,1970,all_women,12,597,59700,0.0070561537461439365,0.0070561537461439365
1900-1909,1970,ever_married,0,15452,1545200,0.19714967401150849,0.19714967401150849
1900-1909,1970,ever_married,1,15505,1550500,0.19782589280018373,0.19782589280018373
1900-1909,1970,ever_married,2,17858,1785800,0.22784745524835093,0.22784745524835093
1900-1909,1970,ever_married,3,11337,1133700,0.14464702655115658,0.14464702655115658
1900-1909,1970,ever_married,4,6662,666200,0.08499942585197189,0.08499942585197189
1900-1909,1970,ever_married,5,3973,397300,0.050690891460505,0.050690891460505
1900-1909,1970,ever_married,6,2532,253200,0.032305395715579825,0.032305395715579825
1900-1909,1970,ever_married,7,1635,163500,0.02086071168837797,0.02086071168837797
1900-1909,1970,ever_married,8,1169,116900,0.014915089886063514,0.014915089886063514
1900-1909,1970,ever_married,9,736,73600,0.009390509971037422,0.009390509971037422
1900-1909,1970,ever_married,10,584,58400,0.007451165520497085,0.007451165520497085
1900-1909,1970,ever_married,11,343,34300,0.004376283858785103,0.004376283858785103
1900-1909,1970,ever_married,12,591,59100,0.007540477435982495,0.007540477435982495
1900-1909,1980,all_women,0,84734,1694680,0.2481913030233798,0.2481913030233798
1900-1909,1980,all_women,1,63133,1262660,0.1849205930768645,0.1849205930768645
1900-1909,1980,all_women,2,73811,1476220,0.21619713771872784,0.21619713771872784
1900-1909,1980,all_women,3,46659,933180,0.13666719389817403,0.13666719389817403
1900-1909,1980,all_women,4,27265,545300,0.0798609280446155,0.0798609280446155
1900-1909,1980,all_women,5,15830,316600,0.0463670820079319,0.0463670820079319
1900-1909,1980,all_women,6,10145,202900,0.029715353567306962,0.029715353567306962
1900-1909,1980,all_women,7,6455,129100,0.01890710766653193,0.01890710766653193
1900-1909,1980,all_women,8,4465,89300,0.013078270446330762,0.013078270446330762
1900-1909,1980,all_women,9,3057,61140,0.008954148433243703,0.008954148433243703
1900-1909,1980,all_women,10,2246,44920,0.006578677586216997,0.006578677586216997
1900-1909,1980,all_women,11,1340,26800,0.0039249456658641034,0.0039249456658641034
1900-1909,1980,all_women,12,2266,45320,0.006637258864811983,0.006637258864811983
1900-1909,1980,ever_married,0,62804,1256080,0.19729025894267951,0.19729025894267951
1900-1909,1980,ever_married,1,62551,1251020,0.19649549371255887,0.19649549371255887
1900-1909,1980,ever_married,2,73602,1472040,0.23121071330964743,0.23121071330964743
1900-1909,1980,ever_married,3,46528,930560,0.14616140959309906,0.14616140959309906
1900-1909,1980,ever_married,4,27179,543580,0.0853791469938712,0.0853791469938712
1900-1909,1980,ever_married,5,15781,315620,0.049573873899344395,0.049573873899344395
1900-1909,1980,ever_married,6,10117,202340,0.031781185111188597,0.031781185111188597
1900-1909,1980,ever_married,7,6434,128680,0.020211539488523025,0.020211539488523025
1900-1909,1980,ever_married,8,4449,88980,0.013975930864849074,0.013975930864849074
1900-1909,1980,ever_married,9,3052,61040,0.009587444594182822,0.009587444594182822
1900-1909,1980,ever_married,10,2240,44800,0.007036656582886474,0.007036656582886474
1900-1909,1980,ever_married,11,1336,26720,0.004196863033364433,0.004196863033364433
1900-1909,1980,ever_married,12,2260,45200,0.007099483873805103,0.007099483873805103
1900-1909,1990,all_women,0,48351,980011,0.23177811120325587,0.23966704262992988
1900-1909,1990,all_women,1,38634,773129,0.18519814581345964,0.1890729195911424
1900-1909,1990,all_women,2,46091,908834,0.2209444463086444,0.22226031852859782
1900-1909,1990,all_women,3,29324,568873,0.14056919883610008,0.13912099919492343
1900-1909,1990,all_women,4,17247,327641,0.08267620284839101,0.08012639604485343
1900-1909,1990,all_women,5,10132,189277,0.048569333058497,0.046288724134591584
1900-1909,1990,all_women,6,6366,116641,0.03051642067216659,0.02852519361455907
1900-1909,1990,all_women,7,4103,73569,0.0196683748064561,0.017991700765849883
1900-1909,1990,all_women,8,2908,53503,0.013939954652004467,0.013084450870275066
1900-1909,1990,all_women,9,1885,34034,0.009036043507231232,0.008323200585367953
1900-1909,1990,all_women,10,1394,24632,0.006682357904021399,0.0060238901339479175
1900-1909,1990,all_women,11,785,14213,0.003763020770915924,0.003475866777923098
1900-1909,1990,all_women,12,1389,24695,0.00665838961885633,0.006039297128038479
1900-1909,1990,ever_married,0,35965,721881,0.1840677619120733,0.1893157938215706
1900-1909,1990,ever_married,1,38271,765385,0.19586979886381084,0.20072486857823219
1900-1909,1990,ever_married,2,45908,904871,0.234955729566508,0.2373055554462833
1900-1909,1990,ever_married,3,29227,566896,0.14958288551102922,0.14867044049403308
1900-1909,1990,ever_married,4,17184,326267,0.087947182557961,0.08556465137991218
1900-1909,1990,ever_married,5,10084,188145,0.051609601310200114,0.049341678238600827
1900-1909,1990,ever_married,6,6339,116098,0.0324428066943037,0.030447102820404894
