birth_band,completed_year,later_year,completed_em_mean,later_em_mean,later_all_mean,universe_effect,mortality_effect
1890-1899,1960,1970,2.830851613509287,2.819058099488564,2.612076732487462,-0.20698136700110226,-0.011793514020722817
1900-1909,1960,1970,2.43649421619934,2.437743215484075,2.275733686338108,-0.1620095291459669,0.0012489992847348752
